name,Age,Experience (Years),Salary ($),Department,profit,Satisfaction Level,Work Hours Per Week,Projects Handled,Certifications,Remote Work (Days/Week),Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,Parameter_11,Parameter_12,Parameter_13,Parameter_14,Parameter_15,Parameter_16,Parameter_17,Parameter_18,Parameter_19,Parameter_20,Parameter_21,Parameter_22,Parameter_23,Parameter_24,Parameter_25,Parameter_26,Parameter_27,Parameter_28,Parameter_29,Parameter_30,Parameter_31,Parameter_32,Parameter_33,Parameter_34,Parameter_35,Parameter_36,Parameter_37,Parameter_38,Parameter_39,Parameter_40,Parameter_41,Parameter_42,Parameter_43,Parameter_44,Parameter_45,Parameter_46,Parameter_47,Parameter_48,Parameter_49
Employee_1,39,39,80393,Marketing,2,0.5068004998098521,45,17,3,2,42,0.7607183087603385,Low,88,0.7002093837887586,High,52,0.0834088088663828,Low,4,0.4124114192085276,High,20,0.5216393870280622,Low,13,0.0905356153740951,Low,70,0.1769934434085762,Low,94,0.8678429813234287,Low,50,0.2058763619786431,Low,28,0.8446632893352491,Low,83,0.9578786235357716,Medium,45,0.5355710076950255,Medium,87,0.7178324498533308,Medium,21,0.0209754398070736,Low,67,0.9555035001371124,Low,47,0.2578903433007053,Low,58
Employee_2,52,30,53285,IT,2,0.4903021341993191,31,17,2,0,71,0.0866805255758612,High,44,0.9428324427764606,Medium,10,0.8094145484569588,Low,60,0.2642108669435817,High,72,0.1658431882926605,Low,75,0.4092663303447226,Medium,92,0.9226890591761744,Medium,76,0.593322716192855,High,75,0.5034565667275648,Low,60,0.7110360865437517,Low,3,0.6041185417004158,Low,26,0.7836654668806202,Low,24,0.2369481387337718,Low,72,0.9876155540664824,Low,85,0.8830028800847167,Low,18,0.5983633046400499,High,92
Employee_3,35,23,67382,IT,8,0.6349190920335782,53,14,4,1,64,0.7474489122691889,Medium,80,0.9052652912150702,Medium,94,0.2811417927394306,High,79,0.6866744258735383,High,66,0.6088165989073981,Medium,73,0.806337009105264,High,55,0.4923130818875363,Low,32,0.382881554956199,Low,16,0.1634079677354134,High,93,0.7968951018191043,High,74,0.9896336503968522,Low,36,0.8295160710087119,High,60,0.2139671178091104,High,22,0.8622469076239102,Low,28,0.3917865643382112,Low,93,0.2908137113832395,Medium,14
Employee_4,26,21,58202,IT,1,0.9390610093636844,54,6,2,2,98,0.5840512088116966,Low,26,0.9138379641852976,High,93,0.861704850716225,Low,99,0.1853169849589497,Medium,6,0.8537278697475869,High,22,0.6245901663725109,Medium,58,0.2506534389233366,Low,97,0.9247786004352188,Medium,78,0.3205570377657217,Medium,55,0.8675460566030054,Low,15,0.3097282315267136,Low,98,0.5595365043127231,Low,88,0.0312788501420264,Low,71,0.8806090041164892,High,77,0.2138780065284931,High,51,0.5255806623518363,Medium,47
Employee_5,30,16,32444,Sales,3,0.0145973001845364,47,4,0,4,53,0.4754553194878846,Medium,90,0.2713842461957713,High,83,0.3330367856015973,High,72,0.3702356487516026,Medium,57,0.6132578961067189,Low,97,0.3502494353339102,Low,11,0.129028015801323,Medium,75,0.2113373205264552,High,59,0.347005853270689,High,82,0.3497775428286886,Low,45,0.0384265536509788,Low,38,0.191846627167476,High,58,0.0145887408341042,High,1,0.7199186740889321,Medium,24,0.7268590114483993,Low,37,0.1363850835559257,Medium,5
Employee_6,49,19,81627,HR,3,0.999725976685502,34,6,0,3,56,0.8339021190704816,Low,88,0.2652562638498551,Low,3,0.7423213178726953,Medium,82,0.7134726047600078,High,28,0.830364211826091,Low,47,0.5892189151195534,High,30,0.5577691851971267,Low,64,0.3402991043737733,High,19,0.7214105026098812,Low,11,0.4264752123539054,High,46,0.345067400732433,Low,77,0.4935592261396565,Medium,59,0.6928456937142556,High,93,0.9473153195062618,Low,77,0.91736293680771,Low,74,0.503177023031848,Low,81
Employee_7,48,8,149884,IT,7,0.1256004029533662,54,12,0,4,63,0.0866230726527254,Low,92,0.7956158748631198,High,80,0.1257914285618722,Medium,61,0.7071319137809863,Low,8,0.0502341380893494,Low,47,0.1518108726225283,Medium,16,0.9689827972764468,Low,27,0.2184484037763844,Medium,66,0.1876336535460276,Medium,3,0.8882662220004278,Medium,73,0.8097122707912827,High,75,0.6723986913426241,High,52,0.9364824571701414,Low,84,0.0189726191362462,Medium,25,0.8541845875915839,High,59,0.0178631994687273,Medium,25
Employee_8,37,7,68691,Sales,4,0.0487377945457694,49,4,4,2,98,0.5651265674850725,Medium,31,0.0136772236267561,Medium,2,0.6466796884110421,Low,82,0.3152672830806842,Low,14,0.7450394657209957,Medium,83,0.2744227876241061,Low,96,0.3673737227548499,Low,5,0.8890906500835081,Medium,56,0.5684331625439885,Low,36,0.8681826118630177,High,83,0.6937051930857553,High,7,0.932834073234114,Medium,97,0.0510908683401496,Medium,57,0.5096839424498656,High,95,0.2510177278640465,High,37,0.8616100832952749,Low,16
Employee_9,42,12,114792,Sales,6,0.994946329706178,54,19,4,2,92,0.8035079332809504,High,78,0.4081989379094008,Low,63,0.9579057780548652,Medium,51,0.2588332640066842,High,10,0.6352398169949822,Medium,18,0.1263879780330457,Medium,70,0.844692976160613,High,11,0.3392180529446201,Medium,44,0.7097160305259275,High,16,0.4322384970818429,Low,51,0.9014284160456468,High,2,0.4176453663115815,Medium,66,0.3283303552642104,Low,86,0.5798643368349706,Low,34,0.4619470019161484,High,16,0.8739415856039673,Medium,93
Employee_10,48,24,113531,Marketing,1,0.1768996146179656,45,9,2,3,82,0.2400631588022396,Low,84,0.1969635871651711,High,5,0.6816700528658489,Medium,23,0.3182909848198474,Medium,10,0.8019083748615308,Medium,44,0.8801102088576176,Medium,26,0.3271323096518658,Low,85,0.1672829149939299,High,14,0.8269812627380976,High,72,0.8458018456752574,Low,47,0.2757365487494927,Medium,55,0.7072946629545753,Medium,42,0.264690073922196,High,33,0.9085758807419384,Medium,38,0.8850114025185216,Low,7,0.9172768766076004,High,73
Employee_11,30,10,119618,Sales,7,0.9256539529599502,48,14,4,3,76,0.7062124320863826,High,4,0.5876891856189421,Medium,69,0.5048458252304423,High,94,0.5082450854619354,Low,74,0.1590204953039957,Low,59,0.6836799531275061,Low,98,0.6173974469307949,Medium,29,0.5831642355819495,High,56,0.5829401547532448,Low,98,0.2196219585768356,High,31,0.5755992893189292,Low,3,0.8982540448068003,High,54,0.9621115674786692,Low,78,0.4885042325225232,Low,3,0.7879380966918341,High,71,0.0473468858042627,Medium,88
Employee_12,30,32,134443,HR,5,0.8885761605840448,31,5,2,1,52,0.3623522218886819,Low,18,0.4327298533734778,Medium,20,0.2611860991840082,High,16,0.6552179255728631,High,93,0.2555182709173696,Low,64,0.3088484135189352,Medium,70,0.5615779484336292,Low,68,0.7861403866877991,High,65,0.8534158630526454,Medium,76,0.4087013897809656,Medium,7,0.1877043361421456,Medium,66,0.7870613156075769,Medium,88,0.7604688183438468,High,31,0.0155229374724559,Medium,27,0.2571315355328092,Low,94,0.5520230023198256,Low,41
Employee_13,25,29,130878,Finance,2,0.8178201813287626,56,6,0,1,63,0.8012858750797607,High,24,0.249199449740502,Medium,38,0.8203568013337927,Low,56,0.5876549418144913,Medium,96,0.0194918951798184,High,73,0.6659707354395424,Low,60,0.6435662117873835,Medium,73,0.6309809843563988,Medium,18,0.1062321836205666,Low,41,0.2262853526044768,Low,25,0.179261069867186,High,72,0.0077620058335561,Medium,87,0.7689566199001718,Medium,16,0.2298163504660085,High,68,0.3074519496190031,High,51,0.1867064572387651,Low,35
